P,Dec,Ra,run,field,camcol
0.9999786019325256,14.070528795226313,161.84331734994035,004344,0153,4
1.0,7.619698754297893,163.2459601913125,003015,0328,5
0.9999929666519164,11.11781798950696,165.88500585610842,003804,0056,2
0.9999919533729552,8.368605564329075,166.03688152984736,003031,0306,1
1.0,10.200060004735173,168.2170406202503,003031,0321,5
0.9999998807907104,23.910975580363232,169.02675753267164,005224,0110,3
1.0,11.86528275123001,172.30124060926116,003804,0099,3
0.9999869465827942,24.13264216002412,174.4270522103117,005116,0038,2
0.9999987483024596,10.224985487316738,175.2655495058636,003525,0136,4
0.99809730052948,14.992889370438592,175.5694677004355,003631,0391,4
0.9737056493759156,14.994594402282956,175.57427268097945,003631,0391,4
0.9999999403953552,9.212625745547296,176.19097538497468,003031,0373,2
0.9999436140060424,25.988938355435693,177.60597420859386,005116,0058,6
0.9983215928077698,26.0053345044558,177.74221859865634,005116,0058,6
0.9999997615814208,24.472823595142657,179.77554909816172,005116,0070,2
1.0,14.449166888854377,180.3395062590961,004381,0065,2
0.9999998807907104,14.550631254571377,180.9605996953144,003631,0426,3
0.9988045692443848,26.226116357675124,182.37011513843223,005087,0200,1
0.9951221942901612,26.237610672188257,182.38693552694272,005087,0200,1
0.999996304512024,13.04930352072014,182.4770455337949,003804,0165,5
0.9998347163200378,14.36632978455181,182.50765834991552,004381,0079,2
0.9999995827674866,12.487616925949546,183.06265596195004,003836,0228,3
0.9999793171882628,14.771811958339114,183.35961043530037,003631,0441,3
1.0,24.264822661688942,183.45430171664967,005224,0198,2
0.9938604831695556,7.768719486342916,183.5464655131641,003842,0017,4
0.9980741739273072,7.77674342748386,183.53766666083047,003842,0017,4
0.9999996423721312,13.460392191825022,183.72970122283343,003804,0173,6
0.9999200105667114,10.005221945175784,184.26828075746985,003031,0426,4
0.999926507472992,8.674321402182363,185.4891943328366,003842,0030,6
0.9999998807907104,11.557910456202867,186.71167870561104,003836,0252,1
0.9999656677246094,15.220730855941094,188.6905278791818,004381,0119,4
0.9999897480010986,6.301412774897303,188.68749004663871,003841,0159,1
0.9999712705612184,6.62042028302954,189.15679575740765,003842,0054,1
0.9999924898147584,7.10555829767303,189.43867202810355,003841,0164,3
0.97967267036438,26.062720786254918,190.41037395419707,005116,0134,6
0.9999994039535522,12.114184657595166,191.03997782789912,003805,0026,3
0.9999996423721312,26.304286178918296,193.6225142426792,005115,0143,1
1.0,3.812885309776909,194.01880890594427,002247,0222,1
0.9999986886978148,11.931612646363204,194.1828443050353,003805,0047,3
0.99078369140625,14.332507754712484,194.5522855358637,004381,0157,2
0.9996989965438844,14.217421930315467,194.66750672954768,004381,0157,2
0.9999993443489076,11.707288932203484,197.6832940730665,003836,0324,2
0.9999998807907104,5.475994826916448,198.02592353837943,002247,0248,5
0.999995768070221,27.629923475810003,203.8066011868398,004646,0072,1
0.9999939799308776,24.091359011339534,207.75322742591703,005116,0240,5
0.9999985098838806,23.84004827273831,210.68677470209565,005224,0363,6
0.9997750520706176,12.721737659172012,211.2237192304608,003971,0085,2
0.9999986886978148,9.3392124664526,211.2757143828644,003903,0199,4
0.9999719262123108,5.576323264505168,212.57823577263284,002391,0037,1
0.9999971389770508,4.261166879095553,218.66237545616676,001478,0071,4
0.9997918009757996,5.2767050603067664,218.845027788489,003905,0128,1
0.9351568818092346,5.313109400286837,218.9697657928696,003905,0128,1
0.9997846484184264,7.862817627110671,221.33929985868417,003909,0173,3
0.9999552965164183,9.508721296019786,224.1992011135038,003894,0136,3
0.9412497878074646,8.278310944547917,230.45094099150535,003836,0540,2
0.999996781349182,12.960524598068089,234.5910580745198,005317,0074,3
0.9999980926513672,4.182545022656273,236.40553368097736,003910,0175,2
0.9999998211860656,12.510550893203431,236.43343601053516,005317,0087,3
0.9999996423721312,25.922681008892383,237.6009306172614,004512,0252,5
0.9999924898147584,5.107838230582192,240.77103589421088,003903,0396,2
0.9999994039535522,29.13948751073277,342.6263412680026,006354,0128,2
0.9831948280334472,24.07462602256932,344.92293434021366,006366,0086,1
0.9999909996986388,31.89955755557816,358.9237656440527,004152,0079,2
0.9999998807907104,27.348183537152924,1.511732358154133,004135,0290,5
0.9999998807907104,24.20751102909144,9.43361958724198,004836,0423,2
0.999999225139618,15.067692165702306,5.913880742655272,002566,0347,4
0.9999999403953552,14.033224219538292,2.2041131839450294,001739,0317,1
0.9999999403953552,14.487811916895025,0.5612305264411367,001739,0306,2
0.9999982118606568,15.556082318598769,3.1201400827924104,002566,0329,5
1.0,15.0536121090831,5.202809490232428,002566,0342,4
0.9999984502792358,14.600041329545606,9.766803526854924,001035,0028,3
0.9999994039535522,14.45624021601962,9.852817795609756,001043,0065,2
0.9999996423721312,25.43630002982751,9.59988997689855,004836,0424,5
0.9999125003814696,23.97020647123393,1.2708461320116589,004851,0039,1
0.9999998211860656,14.525272134908358,3.2014552880878124,001904,0171,2
0.9999388456344604,27.02356493992008,1.7695430000606949,004152,0115,5
0.9999998807907104,25.60384043192919,3.3026632176899766,004836,0386,5
0.9999943375587464,24.849827960721868,4.050932300601135,004851,0056,3
0.9999758005142212,25.070687602858666,11.599991462974236,004851,0101,4
0.9999992847442628,25.293707263458742,12.310022324727743,004836,0440,5
1.0,25.48590897824384,5.528472387481013,004836,0399,5
0.9999897480010986,31.02166850353011,0.0890703251263289,004135,0264,4
0.9999989867210388,30.86914765304571,0.1332279942110678,004135,0265,4
0.999998927116394,31.938045585026558,0.1646510609209331,004135,0258,5
0.9999977946281432,29.598744658963003,1.163330376044179,004152,0097,5
0.999990940093994,28.27711212453463,0.7316977377516304,004135,0283,4
0.9999979734420776,27.136825968327685,18.689426670508,004829,0121,5
1.0,14.148390535144872,21.318913852762044,001035,0103,3
0.9999998807907104,14.677322757318649,22.56434934557552,001043,0147,4
1.0,14.15554413591276,22.942164251871286,001043,0150,3
0.9999994039535522,14.982526193206914,24.50198294500236,001043,0159,5
0.9999897480010986,14.874718662861063,20.067121349741026,001043,0131,4
0.9999960660934448,14.9246712800925,29.08112696674996,001043,0189,6
0.9999980926513672,27.1881331431939,19.52292406715556,004800,0103,3
0.9713728427886964,27.637169348803976,18.25863968177604,004829,0124,6
0.9999943971633912,24.779742423106708,25.86348478209278,004844,0033,6
0.9992518424987792,24.15493892159684,19.3615122075124,004829,0102,3
0.9992042779922484,24.138166031888133,19.340290170490757,004829,0102,3
0.9999998211860656,30.157034566229942,18.48404358783669,004800,0122,6
0.9999999403953552,32.179131855537456,20.747203211474755,004800,0137,2
0.9999905824661256,32.137330331630764,21.55372875921212,004829,0156,1
0.9999973177909852,29.115988847560956,19.61172808407956,004829,0135,4
0.9999998807907104,29.906355001069898,39.56833201502848,005817,0153,6
0.9999920129776,28.17903484373724,38.316574190900326,005934,0120,6
0.9995839595794678,26.89570787313114,37.92521255216552,005934,0111,5
0.9999997615814208,26.79727995483581,37.887348034187376,005934,0111,5
